hit_distance_sc,launch_speed,launch_angle,release_spin_rate,des
383,100.9,34.2,2278,Mookie Betts flies out sharply to center fielder Austin Hays.  
323,93.8,42.3,2340,Mookie Betts flies out to center fielder Kevin Kiermaier.  
306,86.8,35,2527,Mookie Betts flies out to right fielder Austin Meadows.  
320,89.6,35.6,2312,Mookie Betts flies out to left fielder Derek Fisher.  
381,104.5,26.4,2217,Mookie Betts homers (28) on a fly ball to left field.  
290,83.2,38.8,1908,Mookie Betts flies out to left fielder Cameron Maybin.  
369,97,31,2186,Mookie Betts flies out to center fielder Brett Gardner.  
242,87.9,53,2353,Mookie Betts flies out to right fielder Aaron Judge.  
321,95.2,27.2,2082,Mookie Betts homers (26) on a fly ball to right field.  
438,105.1,28.1,2203,Mookie Betts homers (25) on a fly ball to left center field.   Christian Vazquez scores.    Jackie Bradley Jr.  scores.  
348,93.9,38,2173,Mookie Betts homers (24) on a fly ball to left center field.  
222,90.5,58.1,2489,Mookie Betts flies out to right fielder Max Kepler.  
266,90.2,48.7,2451,Mookie Betts flies out to left fielder Brian Goodwin.  
313,92.3,40.8,2234,Mookie Betts out on a sacrifice fly to center fielder Mike Trout.   Brock Holt scores.  
401,99.9,27.3,1992,Mookie Betts homers (23) on a fly ball to left field.  
416,98,28,2290,Mookie Betts flies out to center fielder Sam Hilliard.  
333,93.9,40.7,2137,Mookie Betts flies out to center fielder Manuel Margot.  
288,83,39.9,2124,Mookie Betts flies out to center fielder Manuel Margot.  
353,97.4,39.7,2280,Mookie Betts flies out to center fielder Manuel Margot.  
339,93.5,40.4,2854,Mookie Betts flies out to left fielder Josh Naylor.  
252,80.8,45.7,2486,Mookie Betts flies out to right fielder Hunter Renfroe.  
372,99.8,34.6,2194,Mookie Betts out on a sacrifice fly to center fielder Stevie Wilkerson.   Christian Vazquez scores.  
385,99.5,24.2,2188,Mookie Betts flies out to center fielder Stevie Wilkerson.  
399,100.4,28,2397,Mookie Betts doubles (33) on a sharp fly ball to center fielder Stevie Wilkerson.  
358,102.9,42.1,1221,Mookie Betts homers (21) on a fly ball to left center field.  
377,101.8,24.9,2263,Mookie Betts flies out sharply to center fielder Anthony Santander.  
339,91.4,34,2475,Mookie Betts flies out to center fielder Anthony Santander.  
314,97,45.6,2624,Mookie Betts flies out to left fielder Trey Mancini.  
371,97.9,24.2,2149,Mookie Betts doubles (31) on a fly ball to left fielder Greg Allen.  
270,99.4,53.8,2380,Mookie Betts flies out to center fielder Oscar Mercado.  
257,72.4,31.8,2586,"Mookie Betts singles on a fly ball to left fielder Greg Allen.   Marco Hernandez scores.  Sandy Leon out at 3rd on the throw, left fielder Greg Allen to third baseman Jose Ramirez.  "
407,105.5,23.5,2503,Mookie Betts triples (5) on a sharp fly ball to center fielder Oscar Mercado.  
293,83.7,31.5,2176,Mookie Betts flies out to right fielder Kole Calhoun.  
374,96.1,37.7,2135,Mookie Betts homers (20) on a fly ball to left field.   Jackie Bradley Jr.  scores.  
282,92.4,50.7,2345,Mookie Betts flies out to right fielder Kole Calhoun.  
329,84.7,36.4,2337,Mookie Betts flies out to left fielder Whit Merrifield.  
351,96.2,38.2,2341,Mookie Betts flies out to center fielder Bubba Starling.  
350,101.2,38.3,2466,Mookie Betts flies out sharply to center fielder Brett Gardner.  
325,93.6,41.2,3006,Mookie Betts flies out to center fielder Aaron Hicks.  
349,95.5,38.4,2311,Mookie Betts flies out to center fielder Brett Gardner.  
373,99.9,35,2214,Mookie Betts flies out to center fielder Brett Gardner.  
345,95,33.4,2167,Mookie Betts homers (19) on a fly ball to right field.  
390,101.6,32.8,2064,Mookie Betts flies out sharply to center fielder Kevin Kiermaier.  
386,95.1,30.6,2524,Mookie Betts out on a sacrifice fly to center fielder Aaron Hicks.   Jackie Bradley Jr.  scores.  
378,96.9,23,2191,Mookie Betts flies out to center fielder Aaron Hicks.  
275,89.4,48.9,2208,Mookie Betts flies out to left fielder Mike Tauchman.  
376,103.4,39.5,1938,Mookie Betts homers (18) on a fly ball to left field.   Jackie Bradley Jr.  scores.  
390,102.4,25.8,2281,Mookie Betts homers (17) on a fly ball to left field.  
362,103.9,41.1,2229,Mookie Betts homers (16) on a fly ball to left field.  
381,99.1,29.2,1572,Mookie Betts flies out to center fielder Aaron Hicks.  
258,71.6,30.1,2690,Mookie Betts flies out to left fielder Tommy Pham.  
327,94.8,38.8,2218,Mookie Betts flies out to right fielder Avisail Garcia.  
324,92,38.1,2915,Mookie Betts flies out to right fielder Avisail Garcia.  
314,89.1,35.6,2458,Mookie Betts flies out to right fielder Avisail Garcia.  
241,90.7,56.1,2247,Mookie Betts flies out to right fielder Avisail Garcia.  
378,99.9,32,2623,Mookie Betts doubles (24) on a fly ball to center fielder Anthony Santander.   Marco Hernandez to 3rd.  
364,90.2,28.7,1899,Mookie Betts homers (15) on a fly ball to left field.   Michael Chavis scores.  
237,82.4,47.9,2084,Mookie Betts flies out to right fielder Anthony Santander.  
228,88.4,56.7,2369,Mookie Betts flies out to right fielder Anthony Santander.  
221,66.4,42.9,2336,Mookie Betts singles on a fly ball to right fielder Anthony Santander.  
418,104.4,24.3,2199,Mookie Betts homers (14) on a fly ball to center field.  
362,100.5,30.1,2078,Mookie Betts flies out sharply to center fielder Teoscar Hernandez.  
371,96.7,31.8,2057,Mookie Betts flies out to center fielder Teoscar Hernandez.  
247,86.8,52.5,2204,Mookie Betts flies out to left fielder Lourdes Gurriel Jr. 
342,96.6,36.6,2297,Mookie Betts flies out to right fielder Alex Verdugo.   Marco Hernandez to 2nd.  
343,95.6,36.4,1463,Mookie Betts flies out to center fielder A.  J. Pollock.  
295,79.5,37.3,2190,Mookie Betts flies out to center fielder A.  J. Pollock.  
327,92.9,41.6,2091,Mookie Betts out on a sacrifice fly to center fielder A.  J. Pollock.   Michael Chavis scores.  
254,74.4,29.7,2554,Mookie Betts singles on a fly ball to right fielder Nicholas Castellanos.  
398,103.6,32,2240,Mookie Betts flies out sharply to center fielder Victor Reyes.  
419,104.7,23.6,2277,Mookie Betts triples (4) on a sharp fly ball to center fielder Victor Reyes.  
348,103,40.8,2175,Mookie Betts flies out sharply to center fielder Ryan Cordell.  
410,106.3,23.5,2505,Mookie Betts homers (13) on a fly ball to center field.  
269,90.6,49,2373,Mookie Betts flies out to right fielder Jon Jay.  
381,99.1,32.2,2325,Mookie Betts flies out to center fielder Randal Grichuk.  
387,99.3,29.8,3171,Mookie Betts triples (3) on a fly ball to center fielder Teoscar Hernandez.  
360,98.1,29.3,1856,Mookie Betts triples (2) on a fly ball to center fielder Jake Cave.  
380,105,27.9,2011,Mookie Betts homers (12) on a fly ball to left field.  
361,99.2,33.1,2248,Mookie Betts flies out to right fielder Max Kepler.  
340,95,36.3,2385,Mookie Betts triples (1) on a fly ball to right fielder Trey Mancini.  
217,87.6,57.7,2459,Mookie Betts flies out to right fielder Trey Mancini.  
240,74.5,44.5,1912,Mookie Betts flies out to center fielder Delino DeShields.  
327,93.5,35.9,2568,Mookie Betts flies out to right fielder Nomar Mazara.  
310,92.7,41.8,2538,Mookie Betts flies out to right fielder Nomar Mazara.  
407,102,29,2417,Mookie Betts homers (11) on a fly ball to left center field.  
388,104.2,35.9,2237,Mookie Betts flies out sharply to center fielder Danny Santana.  
297,89.7,39.9,1713,Mookie Betts flies out to center fielder Danny Santana.  
352,99.5,25.5,2210,Mookie Betts flies out sharply to right fielder Austin Meadows.  
310,93.1,42,1188,Mookie Betts flies out to right fielder Guillermo Heredia.  
294,95.2,47.9,2552,Mookie Betts flies out to left fielder Alex Gordon.  
398,98.4,35.2,2244,Mookie Betts homers (10) on a fly ball to left field.   Jackie Bradley Jr.  scores.  
267,87,47.7,2557,Mookie Betts flies out to right fielder Whit Merrifield.  
389,99.9,26.5,2262,Mookie Betts doubles (15) on a fly ball to center fielder Billy Hamilton.  
337,85.7,30.9,2361,Mookie Betts flies out to left fielder Alex Gordon.  
281,93.6,52.3,2322,Mookie Betts flies out to right fielder Whit Merrifield.  
315,90.6,36.6,2272,Mookie Betts flies out to right fielder Clint Frazier.  
306,96.6,45.6,1961,Mookie Betts flies out to center fielder Aaron Hicks.  
231,73.2,40,2811,Mookie Betts singles on a fly ball to center fielder Leonys Martin.  
247,78.8,45.8,2221,Mookie Betts flies out to center fielder Leonys Martin.  
407,103.7,27.1,2178,Mookie Betts homers (9) on a fly ball to left field.  
358,105.2,43.9,2361,Mookie Betts flies out sharply to center fielder Oscar Mercado.   Jackie Bradley Jr.  to 3rd.  
399,103.7,28.6,2066,Mookie Betts flies out sharply to center fielder Oscar Mercado.  
304,90.6,42.8,2361,Mookie Betts flies out to right fielder Josh Reddick.  
290,83.6,40.6,2662,Mookie Betts flies out to right fielder Josh Reddick.  
248,95.2,55,2628,Mookie Betts flies out to right fielder Josh Reddick.  
338,92.1,31.5,1948,Mookie Betts flies out to right fielder George Springer.  
367,103.1,39.4,2351,Mookie Betts doubles (14) on a sharp fly ball to center fielder Jake Marisnick.  
260,90.6,50.4,2270,Mookie Betts flies out to right fielder George Springer.  
423,105.3,25,2183,Mookie Betts homers (8) on a fly ball to center field.  
336,88.3,27,1782,Mookie Betts flies out to left fielder Brandon Drury.  
370,101.1,23.8,2532,Mookie Betts flies out sharply to right fielder Josh Reddick.  
201,73.6,53.4,2785,Mookie Betts hits a ground-rule double (11) on a fly ball to left field.   Andrew Benintendi to 3rd.  
296,96.1,47.5,2137,Mookie Betts flies out to right fielder Charlie Blackmon.  
341,98.5,37.6,2730,Mookie Betts flies out to center fielder David Dahl.  
