hit_distance_sc,launch_speed,launch_angle,release_spin_rate,des
343,90.7,26.3,2457,Kris Bryant flies out to left fielder Marcell Ozuna.  
369,98.4,33.3,2059,Kris Bryant flies out to center fielder Harrison Bader.  
321,83.5,31.3,2352,Kris Bryant flies out to left fielder Marcell Ozuna.  
379,98.9,26.1,2091,Kris Bryant homers (31) on a fly ball to left center field.  
367,93.5,26.4,2191,Kris Bryant homers (30) on a fly ball to left center field.   Anthony Rizzo scores.    Nicholas Castellanos scores.  
367,98.9,27.6,1807,Kris Bryant homers (29) on a fly ball to left center field.   Nicholas Castellanos scores.  
202,66.9,42,1952,Kris Bryant singles on a fly ball to right fielder Pablo Reyes.   Nicholas Castellanos scores.  
260,80.4,45.1,1955,Kris Bryant flies out to left fielder Pablo Reyes.  
347,95.2,37.3,2379,Kris Bryant flies out to center fielder Wil Myers.  
300,84.5,39.9,2315,Kris Bryant out on a sacrifice fly to left fielder Nick Martini.   Anthony Rizzo scores.  
296,99.4,51,2206,Kris Bryant flies out to center fielder Manuel Margot.  
403,99.3,28,2340,Kris Bryant homers (28) on a fly ball to center field.   Anthony Rizzo scores.  
381,94.5,31,2406,Kris Bryant homers (27) on a fly ball to left center field.   Anthony Rizzo scores.  
298,90.2,42.6,2037,Kris Bryant flies out to right fielder Christian Yelich.  
349,97.9,40.5,2385,Kris Bryant flies out to left fielder Juan Soto.  
394,104.9,24.5,2406,Kris Bryant homers (26) on a fly ball to left center field.   Nicholas Castellanos scores.  
309,95.5,47.6,1990,Kris Bryant flies out to right fielder Mike Yastrzemski.  
219,90.6,59.8,1908,Kris Bryant flies out to right fielder Austin Slater.  
387,104.4,25.5,1857,Kris Bryant homers (25) on a fly ball to left center field.  
323,90.1,36.9,2089,Kris Bryant flies out to center fielder Adam Haseley.   Nicholas Castellanos to 3rd.  
445,108.1,28.1,2472,Kris Bryant homers (24) on a fly ball to center field.  
296,94.3,47.6,1403,Kris Bryant flies out to left fielder Sean Rodriguez.  
218,64.7,40.6,2953,Kris Bryant flies out to left fielder Josh VanMeter.  
231,77.4,49.9,2903,Kris Bryant flies out to right fielder Aristides Aquino.  
