hit_distance_sc,launch_speed,launch_angle,release_spin_rate,des
381,103.2,25.5,2183,Ji-Man Choi homers (19) on a fly ball to right field.  
373,102.5,26.5,2058,Ji-Man Choi doubles (20) on a sharp fly ball to center fielder Jonathan Davis.  
408,101.2,28.9,2252,Ji-Man Choi flies out sharply to center fielder Brett Gardner.  
341,93,36.5,2726,Ji-Man Choi flies out to center fielder Jackie Bradley Jr. 
412,99.6,32.7,2212,Ji-Man Choi homers (17) on a fly ball to center field.   Austin Meadows scores.    Travis d'Arnaud scores.  
362,95.7,28,2193,Ji-Man Choi out on a sacrifice fly to center fielder Chris Taylor.   Tommy Pham scores.  
382,103.4,40.7,1899,Ji-Man Choi homers (16) on a fly ball to right field.  
402,102.3,28.4,2935,Ji-Man Choi homers (15) on a fly ball to center field.  
419,107.8,21,2375,Ji-Man Choi homers (14) on a fly ball to center field.   Joey Wendle scores.    Travis d'Arnaud scores.  
310,91.4,43.4,1320,Ji-Man Choi out on a sacrifice fly to left fielder Jonathan Davis.   Austin Meadows scores.  
215,86,58.9,1589,Ji-Man Choi flies out to left fielder Jonathan Davis.  
409,102.9,22.7,2588,Ji-Man Choi hits a ground-rule double (17) on a fly ball to left-center field.  
367,98.4,34.3,2319,Ji-Man Choi flies out to center fielder Anthony Santander.  
335,93.7,36.3,2311,Ji-Man Choi flies out to center fielder Anthony Santander.  
402,103.5,31.9,2202,Ji-Man Choi homers (13) on a fly ball to right field.  
332,94.3,31.9,2623,Ji-Man Choi doubles (15) on a fly ball to left fielder Michael Brantley.  
388,101.1,33.8,2658,Ji-Man Choi flies out sharply to center fielder George Springer.   Tommy Pham to 3rd.  
347,93.5,35.9,2659,Ji-Man Choi flies out to right fielder Josh Reddick.  
331,95.3,34,2375,Ji-Man Choi flies out to left fielder Dylan Moore.  
278,85.7,44.1,2321,Ji-Man Choi flies out to right fielder Mallex Smith.  
289,90.1,45.1,2354,Ji-Man Choi flies out to center fielder Manuel Margot.  
414,106.6,25.5,2375,Ji-Man Choi homers (11) on a fly ball to right center field.    Matt Duffy scores.  
314,92.5,41.9,2318,Ji-Man Choi flies out to left fielder Wil Myers in foul territory.  
318,92.8,40.5,2238,Ji-Man Choi flies out to left fielder Tim Lopes.  
344,93.5,29.5,1582,Ji-Man Choi flies out to left fielder Derek Fisher.  
319,87.1,31.9,2362,Ji-Man Choi flies out to left fielder Lourdes Gurriel Jr. 
303,82.1,36.3,2566,Ji-Man Choi flies out to right fielder Brian Anderson.  
302,84.7,37.8,2077,Ji-Man Choi flies out to left fielder Harold Ramirez.  
362,96.7,30.6,2303,Ji-Man Choi doubles (12) on a fly ball to left fielder Sam Travis.  
397,104.8,30.1,2108,Ji-Man Choi homers (10) on a fly ball to center field.   Willy Adames scores.  
406,104.2,32,2093,Ji-Man Choi flies out sharply to center fielder Teoscar Hernandez.  
303,87.2,39,2273,Ji-Man Choi flies out to center fielder Jackie Bradley Jr. 
311,90.3,40.4,2616,Ji-Man Choi flies out to left fielder Leury Garcia.  
240,94.2,59.7,2437,Ji-Man Choi flies out to left fielder Mike Tauchman.  
256,88.3,53.8,2505,Ji-Man Choi flies out to left fielder Brett Gardner.  
259,82.3,45.8,2382,Ji-Man Choi flies out to left fielder Anthony Santander in foul territory.  
360,97.8,29.9,1526,"Ji-Man Choi singles on a fly ball to center fielder Jake Cave, deflected by left fielder Luis Arraez.  "
391,101.2,27.7,2291,Ji-Man Choi homers (9) on a fly ball to left center field.  
301,92.7,45.6,2175,Ji-Man Choi flies out to left fielder Robbie Grossman.  
340,104.3,45.3,2321,Ji-Man Choi out on a sacrifice fly to right fielder Stephen Piscotty.   Mike Zunino scores.    Brandon Lowe to 3rd.  
255,82.6,44.6,2464,Ji-Man Choi flies out to left fielder Chad Pinder.  
347,98,28.2,1738,Ji-Man Choi flies out to left fielder Chad Pinder.  
291,88.8,39.2,2514,Ji-Man Choi flies out to left fielder Robbie Grossman.  
387,103,26.4,2311,Ji-Man Choi flies out sharply to center fielder Aaron Hicks.  
246,94.9,53.9,2574,Ji-Man Choi flies out to right fielder Cameron Maybin.  
388,104.7,35.5,1653,Ji-Man Choi flies out sharply to center fielder Mike Trout.  
271,74.1,33.1,2172,Ji-Man Choi flies out to right fielder Kole Calhoun.  
226,78.2,52,2255,Ji-Man Choi flies out to left fielder Brian Goodwin in foul territory.  
370,97.9,32.3,2368,Ji-Man Choi homers (8) on a fly ball to right field.    Yandy Diaz scores.  
257,85.8,46.7,2572,Ji-Man Choi flies out to left fielder Chad Pinder.  
253,85,51.5,2420,Ji-Man Choi flies out to left fielder Andrew Benintendi.  
394,99,28.2,1638,Ji-Man Choi homers (6) on a fly ball to center field.  
282,99.9,53.8,2124,Ji-Man Choi flies out to left fielder Christin Stewart.  
279,99,51,2068,Ji-Man Choi flies out to center fielder Byron Buxton.  
380,103.9,38,1847,Ji-Man Choi homers (5) on a fly ball to right center field.    Avisail Garcia scores.  
317,86.1,33.7,3102,Ji-Man Choi flies out to center fielder Jonathan Davis.  
229,93,55.3,2303,Ji-Man Choi flies out to left fielder Lourdes Gurriel Jr. 
256,92.9,54.7,2447,Ji-Man Choi flies out to left fielder Oscar Mercado.  
351,96.9,29,2386,Ji-Man Choi homers (4) on a fly ball to left field.   Tommy Pham scores.  
252,85,48.6,2858,Ji-Man Choi flies out to center fielder Leonys Martin.  
351,98.6,33.7,2279,Ji-Man Choi flies out to left fielder Jake Bauers.  
269,79.4,31.9,2337,Ji-Man Choi flies out to left fielder Joc Pederson.  
298,86.1,41.6,2469,Ji-Man Choi flies out to left fielder Chris Taylor.  
378,102,21.8,2142,Ji-Man Choi flies out sharply to left fielder Harold Ramirez.  
427,107.8,28.6,2432,Ji-Man Choi homers (3) on a fly ball to center field.  
351,90.5,27.3,2547,Ji-Man Choi flies out to right fielder Clint Frazier.   Austin Meadows to 3rd.  
276,83.9,41.1,1447,Ji-Man Choi flies out to left fielder David Peralta.  
290,91.9,46.1,1502,Ji-Man Choi out on a sacrifice fly to right fielder Trey Mancini.   Willy Adames scores.  
434,106.7,28.2,2362,Ji-Man Choi homers (2) on a fly ball to right center field.  
339,101.5,40.8,2402,Ji-Man Choi flies out sharply to center fielder Billy Hamilton.  
316,84,33.1,2165,Ji-Man Choi flies out to right fielder Chris Owings.  
293,90.5,46.8,2363,Ji-Man Choi flies out to left fielder Alex Gordon.  
399,101,26.4,2351,Ji-Man Choi triples (1) on a sharp fly ball to center fielder Jackie Bradley Jr. 
426,107.3,29.5,2293,Ji-Man Choi homers (1) on a fly ball to right center field.  
345,88.1,27,2401,Ji-Man Choi flies out to center fielder Cedric Mullins.  
281,84.8,41.4,2052,Ji-Man Choi flies out to right fielder Daniel Palka.  
389,97.6,26.9,2379,Ji-Man Choi flies out to center fielder Leury Garcia.  
332,93.6,38.7,2187,Ji-Man Choi flies out to left fielder Eloy Jimenez.  
218,68.3,44,2567,Ji-Man Choi flies out to left fielder Michael Brantley.  
